"state","state_name","planned_burn_count","unplanned_burn_count","total_burn_count","unplanned_share","longitude","latitude"
"ACT","Australian Capital Territory","2","82324","82326","1","149.0124","-35.4735"
"NSW","New South Wales","4222","4912322","4916544","0.9991","146.9211","-31.2532"
"NT","Northern Territory","2598483","4566760","7165243","0.6373","132.5509","-19.4914"
"Qld","Queensland","1525279","4383865","5909144","0.7419","142.7028","-20.9176"
"SA","South Australia","1076","170589","171665","0.9937","136.2092","-30.0002"
"Tas","Tasmania","11708","32891","44599","0.7375","146.8087","-42.0409"
"Vic","Victoria","23261","1410538","1433799","0.9838","144.9646","-37.0201"
"WA","Western Australia","190834","1183529","1374363","0.8611","121.6283","-27.6728"
